Module,Object,Type,Path,,
plans,plans_subjectObjectiveDropdown,XPATH,(//select[@id='studyObjective-0'])[1],,
plans,plans_subjectObjectiveDropdownValue,XPATH,//option[text()='Dose Finding'],,
plans,plans_TargetPopulation,XPATH,//input[@id='populationName-0'],,
designs,designs_link,ID,leftPanel.designs,,
plans,plans_ControlArms,XPATH,(//input[@id='controlArm-0'])[1],,
plans,plans_TreatmentArms,XPATH,//input[@id='treatmentArm-0'],,
Plans,InputSet_link,XPATH,"//a[text()=""Input Set 1""]",,
,,,,,
,,,,,
DOP,,,,,
Designs,proportionUnderControl_SP,ID,proportionUnderControl_SP,,
Designs,differenceInProportions_SP,ID,differenceInProportions_SP,,
Designs,variance,XPATH,"//*[@id=""variance""]",,
Designs,usePikeSmithCorrection,XPATH,"//*[@id=""collectionContent""]/div[2]/div/div[2]/form/div/div[16]/div/input",,
,,,,,
Designs,proportionUnderControl_SS,ID,proportionUnderControl_SS,,
Designs,differenceInProportions_SS,ID,differenceInProportions_SS,,
Designs,superSuperiorityMargin,ID,superSuperiorityMargin,,
,,,,,
Designs,proportionUnderControl_NI,ID,proportionUnderControl_NI,,
Designs,differenceInProportions_NI,ID,differenceInProportions_NI,,
Designs,nonInferiorityMargin,ID,nonInferiorityMargin,,
,,,,,
ROP,,,,,
Designs,ratioOfProportions_SP,ID,ratioOfProportions_SP,,
Designs,ratioOfProportions_SS,ID,ratioOfProportions_SS,,
Designs,ratioOfProportions_NI,ID,ratioOfProportions_NI,,
Designs,testStatistic,XPATH,"//*[@id=""testStatistic""]",,
Designs,scoreTestStatisticVariance,XPATH,"//*[@id=""scoreTestStatisticVariance""]",,
, ,,,,
OROP,,,,,
Designs,oddsRatioOfProportions_SP,ID,oddsRatioOfProportions_SP,,
Designs,oddsRatioOfProportions_SS,ID,oddsRatioOfProportions_SS,,
Designs,oddsRatioOfProportions_NI,ID,oddsRatioOfProportions_NI,,
,,,,,
DOP-Assurance,,,,,
Designs,proportionUnderControl_NI,ID,proportionUnderControl_NI,,
Designs,pi_c_a,ID,pi_c_a,,
Designs,pi_c_b,ID,pi_c_b,,
Designs,pi_t_a,ID,pi_t_a,,
Designs,pi_t_b,ID,pi_t_b,,
Designs,percPiC1stOperator,ID,percPiC1stOperator,,
Designs,percPiC2ndOperator,ID,percPiC2ndOperator,,
Designs,percPiC1stPercentileVal,ID,percPiC1stPercentileVal,,
Designs,percPiC2ndPercentileVal,ID,percPiC2ndPercentileVal,,
Designs,percPiC1stPercentileProb,ID,percPiC1stPercentileProb,,
Designs,percPiC2ndPercentileProb,ID,percPiC2ndPercentileProb,,
Designs,percPiT1stOperator,ID,percPiT1stOperator,,
Designs,percPiT2ndOperator,ID,percPiT2ndOperator,,
Designs,percPiT1stPercentileVal,ID,percPiT1stPercentileVal,,
Designs,percPiT2ndPercentileVal,ID,percPiT2ndPercentileVal,,
Designs,percPiT1stPercentileProb,ID,percPiT1stPercentileProb,,
Designs,percPiT2ndPercentileProb,ID,percPiT2ndPercentileProb,,
Designs,percPiCDelta1stOperator,ID,percPiCDelta1stOperator,,
Designs,percPiCDelta2ndOperator,ID,percPiCDelta2ndOperator,,
Designs,percPiCDelta1stPercentileVal,ID,percPiCDelta1stPercentileVal,,
Designs,percPiCDelta2ndPercentileVal,ID,percPiCDelta2ndPercentileVal,,
Designs,percPiCDelta1stPercentileProb,ID,percPiCDelta1stPercentileProb,,
Designs,percPiCDelta2ndPercentileProb,ID,percPiCDelta2ndPercentileProb,,
Designs,percPiTDelta1stOperator,ID,percPiTDelta1stOperator,,
Designs,percPiTDelta2ndOperator,ID,percPiTDelta2ndOperator,,
Designs,percPiTDelta1stPercentileVal,ID,percPiTDelta1stPercentileVal,,
Designs,percPiTDelta2ndPercentileVal,ID,percPiTDelta2ndPercentileVal,,
Designs,percPiTDelta1stPercentileProb,ID,percPiTDelta1stPercentileProb,,
Designs,percPiTDelta2ndPercentileProb,ID,percPiTDelta2ndPercentileProb,,
Designs,minPiC,XPATH,"//*[@id=""minPiC""]",,
Designs,maxPiC,XPATH,"//*[@id=""maxPiC""]",,
Designs,minPiT,ID,minPiT,,
Designs,maxPiT,ID,maxPiT,,
ROP - additional parameters for Rho,,,,,
Designs,percPiCRho1stOperator,ID,percPiCRho1stOperator,,
Designs,percPiCRho2ndOperator,ID,percPiCRho2ndOperator,,
Designs,percPiCRho1stPercentileVal,ID,percPiCRho1stPercentileVal,,
Designs,percPiCRho2ndPercentileVal,ID,percPiCRho2ndPercentileVal,,
Designs,percPiCRho1stPercentileProb,ID,percPiCRho1stPercentileProb,,
Designs,percPiCRho2ndPercentileProb,ID,percPiCRho2ndPercentileProb,,
,,,,,
Designs,percPiTRho1stOperator,ID,percPiTRho1stOperator,,
Designs,percPiTRho2ndOperator,ID,percPiTRho2ndOperator,,
Designs,percPiTRho1stPercentileVal,ID,percPiTRho1stPercentileVal,,
Designs,percPiTRho2ndPercentileVal,ID,percPiTRho2ndPercentileVal,,
Designs,percPiTRho1stPercentileProb,ID,percPiTRho1stPercentileProb,,
Designs,percPiTRho2ndPercentileProb,ID,percPiTRho2ndPercentileProb,,
,,,,,
OROP - additional parameters for Psi,,,,,
Designs,percPiCPsi1stOperator,ID,percPiCPsi1stOperator,,
Designs,percPiCPsi2ndOperator,ID,percPiCPsi2ndOperator,,
Designs,percPiCPsi1stPercentileVal,ID,percPiCPsi1stPercentileVal,,
Designs,percPiCPsi2ndPercentileVal,ID,percPiCPsi2ndPercentileVal,,
Designs,percPiCPsi1stPercentileProb,ID,percPiCPsi1stPercentileProb,,
Designs,percPiCPsi2ndPercentileProb,ID,percPiCPsi2ndPercentileProb,,
,,,,,
Designs,percPiTPsi1stOperator,ID,percPiTPsi1stOperator,,
Designs,percPiTPsi2ndOperator,ID,percPiTPsi2ndOperator,,
Designs,percPiTPsi1stPercentileVal,ID,percPiTPsi1stPercentileVal,,
Designs,percPiTPsi2ndPercentileVal,ID,percPiTPsi2ndPercentileVal,,
Designs,percPiTPsi1stPercentileProb,ID,percPiTPsi1stPercentileProb,,
Designs,percPiTPsi2ndPercentileProb,ID,percPiTPsi2ndPercentileProb,,
,,,,,
,,,,,
Designs,hazardRateNull,ID,hazardRateNull,,
Designs,weibullShapeParam,ID,weibullShapeParam,,
Designs,hazardRateAlter,ID,hazardRateAlter,,
Designs,medianSurvivalTimeNull,ID,medianSurvivalTimeNull,,
Designs,byTime,ID,byTime,,
Designs,cumulativeSurvivalNull,ID,cumulativeSurvivalNull,,
Designs,accrualDuration,ID,accrualDuration,,
Designs,studyDuration,ID,studyDuration,,
Designs,eventCalculationMethod,ID,eventCalculationMethod,,
Designs,dropoutInputMethod,ID,dropoutInputMethod,,
Designs,dropoutByTime,ID,dropoutByTime,,
Designs,probabilityOfDropout,ID,probabilityOfDropout,,
Designs,medianSurvivalTimeAlter,ID,medianSurvivalTimeAlter,,
Designs,dropoutHazardRate,ID,dropoutHazardRate,,
,,,,,
,,,,,
MOPD,,,,,
Designs,DifferenceofMeansPairedDataTB,ID,differenceOfMeans_SP,,
,,,,,
MOPR,,,,,
Designs,RatioofMeansTB,ID,ratioOfMeans_SP,,
Designs,RatioofMeansNITB,ID,ratioOfMeans_NI,,
,,,,,
,,,,,
Enrollment,Enrollment_AvgsubLabel,Xpath,"//span[contains(text(), 'Avg. Subjects Enrolled')]",,
SimSetup,fixedSeed,ID,fixedSeed,,
,,,,,
Single Mean,,,,,
Designs,MeanResponseNullTB,XPATH,"//label[text()=""Mean Response under Null""]//..//input[@name='meanResponseUnderNull']",,
Designs,MeanResponseAltTB,XPATH,"//label[text()=""Mean Response under Alternative""]//..//input[@name='meanResponseUnderAlt']",,
InputSet,eMu,ID,eMu,,
InputSet,sdMu,ID,sdMu,,
InputSet,percMu1stOperator,XPATH,"//*[@id=""percMu1stOperator""]",,
InputSet,percMu2ndOperator,XPATH,"//*[@id=""percMu2ndOperator""]",,
InputSet,percMu1stPercentileVal,XPATH,"//*[@id=""percMu1stPercentileVal""]",,
InputSet,percMu1stPercentileProb,XPATH,"//*[@id=""percMu1stPercentileProb""]",,
InputSet,percMu2ndPercentileVal,XPATH,"//*[@id=""percMu2ndPercentileVal""]",,
InputSet,percMu2ndPercentileProb,XPATH,"//*[@id=""percMu2ndPercentileProb""]",,
,,,,,
SingleProportion,,,,,
Designs,propResponseUnderNull,ID,propResponseUnderNull,,
Designs,propResponseUnderAlt,ID,propResponseUnderAlt,,
,,,,,
FishersExtract,,,,,
Designs,proportionControl,ID,proportionControl,,
Designs,proportionTreatment,ID,proportionTreatment,,
Designs,oddsRatio,ID,oddsRatio,,
,,,,,
Designs,cumulativeSurvivalAlter,XPATH,cumulativeSurvivalAlter,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
InputSet,AnalyticalDesignPage,ID,leftPanel.analytical-design-info,,
InputSet,DesignPage,ID,leftPanel.designs,,
InputSet,ResponsePage,ID,leftPanel.response,,
InputSet,EnrollmentPage,ID,leftPanel.enrollment,,
InputSet,SimulationSetupPage,XPATH,//div[text()='Simulation Setup'],,
InputSet,RandomizedDD,ID,randomizationMethod,,
InputSet,VarianceDD,ID,variance,,
InputSet,MeanControl_TB,ID,meanControl,,
InputSet,Meantreatment_TB,ID,meanTreatment,,
InputSet,SdcontrolTB,ID,sdControl,,
InputSet,ProbabilityofdropoutTB,ID,probabilityOfDropout,,
InputSet,SDTreatmentTB,ID,sdTreatment,,
InputSet,EnrollmentAvgSubTB,XPATH,//input[@name='enrollmentTable.0.avgSubjectsEnrolled'],,
InputSet,NumofSimRunTB,ID,numOfSimRun,,
InputSet,RandomSeedDD,ID,randomNumberSeed,,
InputSet,SaveSummaryCB,XPATH,"//label[text()=""Save Summary Statistics for Every Simulation Run""]",,
InputSet,SaveSubjectCB,XPATH,"//label[text()=""Save Subject Level Data for""]",,
InputSet,SaveSubjectTB,ID,subLevelDataSimRuns,,
InputSet,TestTypeDD,XPATH,"//*[@id=""testtype""]",,
InputSet,CriticalPointTB,ID,criticalPoint,,
InputSet,DistributionDD,ID,distribution,,
InputSet,CommonStdCB,XPATH,//input[@name='commonStandardDeviation'],,
InputSet,EnrollmentType,ID,enrollType,,
InputSet,AccrualModelDD,ID,accrualModel,,
InputSet,EnrollinputmethodDD,ID,enrollInputMethod,,
InputSet,StartAtTimeTB,ID,enrollmentTable.0.startingAtTime,,
InputSet,AvgSubTB,ID,enrollmentTable.0.avgSubjectsEnrolled,,
InputSet,Addbutton,ID,addButton,,
InputSet,StartAtTimeTB2,ID,enrollmentTable.1.startingAtTime,,
InputSet,AvgSubTB2,ID,enrollmentTable.1.avgSubjectsEnrolled,,
InputSet,CancelButton,XPATH,"//button[text()=""Cancel""]",,
InputSet,SimulationSetuplink,XPATH,"//div[text()=""Simulation Setup""]",,
InputSet,SaveSimulate,XPATH,"(//button[text()=""Save & Simulate""])[1]",,
InputSet,Result1link,XPATH,//div[1]/div[2]/a,,
InputSet,standardizedDifferenceTB,ID,standardizedDifference,,
,,,,,
,,,,,
inputAdvisor,Designs_SampleSize_ReqValMsg,XPATH,(//div[text()='Sample Size is required.'])[1],,
inputAdvisor,Designs_AllocationRatio_ReqValMsg,XPATH,(//div[text()='Allocation Ratio is required.'])[1],,
inputAdvisor,TwoArmContMeanCont_ReqValMsg,XPATH,"//div[text()=""Mean Control is required.""]",,
inputAdvisor,TwoArmContMeanTretmnt_ReqValMsg,XPATH,"//div[text()=""Mean Treatment is required.""]",,
inputAdvisor,TwoArmContProbDropout_ReqValMsg,XPATH,"//div[text()=""Probability of Dropout is required.""]",,
inputAdvisor,TwoArmContStdDev_ReqValMsg,XPATH,(//div[text()='Standard Deviation is required.'])[1],,
inputAdvisor,TwoArmContPower_ReqValMsg,XPATH,(//div[text()='Power is required.'])[1],,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
landingPage,userSearch,XPATH,//*[@class='col-md-4 col-sm-6']//div[@class='react-creatable-select__indicators css-1wy0on6'],,
landingPage,lastModifiedColumn,XPATH,"//*[@id=""modifiedHeaderLabel""]/div",,
landingPage,simulatedProject,XPATH,"//*[@id=""projectListTable""]/tbody/tr[1]/td[6]/*[name()='svg']",,
landingPage,usertextBox,XPATH,/html/body/div/div/main/div[2]/div[1]/div/div[1]/div/div[2]/div/div/div/div/div[1]/div[2]/div/input,,
landingPage,usertextBoxExpandButton,XPATH,"//*[@id=""root""]/div/main/div[2]/div[1]/div/div[1]/div/div[2]/div/div/div/div/div[2]",,
landingPage,noProjectsVer,XPATH,//div[@class='px-3 pb-3 overflow-auto flex-grow-1']//div[text()='No results found.'],,
landingPage,firstProjectLandingPage,XPATH,//*[@id='name0']/span,,
inputAdvisor,inputAdvisorError+B46,XPATH,//*[@id='root']/h1,,
inputAdvisor,TOA_button,XPATH,"//*[@id=""lnk-tradeoffAdvisor""]",,
inputAdvisor,landingPage_SearchProject,XPATH,"//*[@id=""searchIcon""]",,
inputAdvisor,landingPage_SearchProject_InputText,XPATH,"//*[@id=""searchInput""]",,
inputAdvisor,projectsButton,XPATH,//a[@class='nav-link'],,
Platform,Plans_ProjectDescription,ID,description,,
TOA,leftPanel_Results,XPATH,"//*[@id=""leftPanel.results""]",,
TOA,results_LatestSimulation,XPATH,(//div[@col-id='resultDetail']//a/span)[1],,
TOA,iframe,XPATH,"//iframe[@id=""explore""]",,
TOA,iframeTestDesign,XPATH,"//iframe[@id=""clinician""]",,
TOA,modelCount_read,XPATH,"//*[@id=""menu_modelsBtn""]/p",,
TOA,homepage_link,XPATH,"//*[@id=""navBarPageHeader""]/ul[1]/li[1]/a",,
TOA,projectSimulations_dropdown,ID,dropdown-sim,,
TOA,downloadRawCsv_button,XPATH,"//*[@id=""data_export_btn""]",,
TOA,confirmDownload_button,XPATH,"//*[@id=""modal-download""]",,
TOA,view_dropdown,XPATH,"//*[@id=""role-select-dropdown-menu""]",,
TOA,ExplorerViewLink,XPATH,"//*[@id=""statistician""]",,
TOA,testDesignLink,XPATH,"//*[@id=""clinician-test""]",,
TOA,favoriteDesignsCount,XPATH,"//*[@id=""review-count-batch""]",,
TOA,favoriteDesignsButton,XPATH,"//*[@id=""reviewBtn""]",,
TOA,reviewFavPageHeader,XPATH,"//*[@id=""review-favorites-container""]/div[1]//h5",,
TOA,testDesignsLink,XPATH,//*[@id='clinician-test'],,
TOA,exploreLink,XPATH,//*[@id='statistician'],,
TOA,selectScenarioButton,XPATH,//*[@id='dropdownScenarioInfo'],,
TOA,changeScenarioLink,XPATH,"//*[@id=""review-favorites-select-scenario-modal-btn""]",,
TOA,changeScenarioSubmit,XPATH,//*[@id='review-favorites-select-scenario-modal-submit'],,
TOA,onlyShowDiffCheckBox,XPATH,"//*[@id=""showDiff""]",,
TOA,removeFavModalAccept,XPATH,//button[text()='Accept'],,
TOA,backToTOAfromFav,XPATH,"//*[@id=""review-favorites-close""]",,
TOA,favSideBySideSummary,XPATH,"//*[@id=""nav-A-tab""]",,
TOA,Weights_ScoringPowerThreshold,XPATH,"//input[@id=""power-threshold""]",,
TOA,Weights_ScoringPowerWeight,XPATH,"//input[@id=""power-weight""]",,
TOA,Weights_ScoringSizeWeight,XPATH,"//input[@id=""size-weight""]",,
TOA,Weights_ScoringDurationWeight,XPATH,"//input[@id=""duration-weight""]",,
TOA,Table_RobustnessScoreValue1,XPATH,"//table[@class=""cell-table""]/tbody/tr[2]/td[7]/div",,
TOA,Weights_ResponseSet2Radio,XPATH,"(//input[@type=""radio""])[2]",,
TOA,Weights_ResponseWeightInputTxt1,XPATH,"(//input[@class=""form-control""])[9]",,
TOA,Weights_ResponseWeightInputTxt2,XPATH,"(//input[@class=""form-control""])[10]",,
TOA,Weights_ResponseWeightInputTxt3,XPATH,"(//input[@class=""form-control""])[11]",,
TOA,Weights_ResponseSceWeightInputTxt1,XPATH,"(//input[@class=""form-control""])[16]",,
TOA,Weights_ResponseSceWeightInputTxt2,XPATH,"(//input[@class=""form-control""])[17]",,
TOA,Weights_DropoutSceWeightInputTxt1,XPATH,"(//input[@class=""form-control""])[18]",,
TOA,Weights_DropoutSceWeightInputTxt2,XPATH,"(//input[@class=""form-control""])[19]",,
TOA,Weights_EnrollmentWeightInputTxt1,XPATH,"(//input[@class=""form-control""])[22]",,
TOA,Weights_EnrollmentWeightInputTxt2,XPATH,"(//input[@class=""form-control""])[23]",,
TOA,Weights_EnrollmentSet1Radio,XPATH,"(//input[@type=""radio""])[4]",,
modelCard,baseballCardTitle,XPATH,/html/body/div/div/div/div/div/div[4]/div[1]/div[1]/div[2]/div[1]/div[2]/h4,,
modelCard,summarySection,XPATH,"//*[@id=""summary_button""]",,
modelCard,baseballCardDesignsLink,XPATH,//*[@id='collapsSummary']//a[text() = 'Designs'],,
modelCard,baseballCardScenariosLink,XPATH,//*[@id='collapsSummary']//a[text() = 'Scenarios'],,
modelCard,baseballCardFinancialsLink,XPATH,//*[@id='collapsSummary']//a[text() = 'Financials'],,
modelCard,baseballCardOutputsLink,XPATH,//*[@class='overline card-title' and text() = 'Output'],,
modelCard,baseballCardSummary,XPATH,//*[@id='summary_button'],,
modelCard,baseballCardInputs,XPATH,"//*[@id=""collapsSummary""]/div/div/div[1]/div/div/div[1]",,
modelCard,baseballCardTitleLabel1,XPATH,"//*[@id=""baseballcard_subtitle""]/p/div/div[1]/p[1]",,
modelCard,baseballCardTitleValue1,XPATH,"//*[@id=""baseballcard_subtitle""]/p/div/div[1]/p[2]",,
modelCard,baseballCardTitleLabel2,XPATH,"//*[@id=""baseballcard_subtitle""]/p/div/div[2]/p[1]",,
modelCard,baseballCardTitleValue2,XPATH,"//*[@id=""baseballcard_subtitle""]/p/div/div[2]/p[2]",,
modelCard,baseballCardTitleLabel3,XPATH,"//*[@id=""baseballcard_subtitle""]/p/div/div[3]/p[1]",,
modelCard,baseballCardTitleValue3,XPATH,"//*[@id=""baseballcard_subtitle""]/p/div/div[3]/p[2]",,
modelCard,baseballCardTitleLabel4,XPATH,"//*[@id=""baseballcard_subtitle""]/p/div/div[4]/p[1]",,
modelCard,baseballCardTitleValue4,XPATH,"//*[@id=""baseballcard_subtitle""]/p/div/div[4]/p[2]",,
modelCard,baseballCardTitleLabel5,XPATH,"//*[@id=""baseballcard_subtitle""]/p/div/div[5]/p[1]",,
modelCard,baseballCardTitleValue5,XPATH,"//*[@id=""baseballcard_subtitle""]/p/div/div[5]/p[2]",,
modelCard,baseballCardTitleLabel6,XPATH,//*[@id='baseballcard_subtitle']/p/div/div[6]/p[1],,
modelCard,baseballCardTitleValue6,XPATH,//*[@id='baseballcard_subtitle']/p/div/div[6]/p[2],,
modelCard,baseballCardTitleLabel7,XPATH,//*[@id='baseballcard_subtitle']/p/div/div[7]/p[1],,
modelCard,baseballCardTitleValueNotSure7,XPATH,//*[@id='baseballcard_subtitle']/p/div/div[7]/p[1]/span,,
modelCard,baseballCardTitleValue7,XPATH,//*[@id='baseballcard_subtitle']/p/div/div[7]/p[2],,
modelCard,baseballCardTitleValueNotSure8,XPATH,//*[@id='baseballcard_subtitle']/p/div/div[7]/p[2]/span,,
TOA,statisticianView_dropdownOption,XPATH,"//*[@id=""role-statistician-menu""]",,
TOA,clinicianView_dropdownOption,XPATH,"//*[@id=""role-clinician-menu""]",,
TOA,heatmapGraphXlabel,XPATH,"//*[@id=""heatmap""]//*[name()='text' and text()='Scenarios']",,
modelCard,designFavorite_button,XPATH,"//*[@id=""baseballcard_favorite_btn""]/button",,
modelCard,designFavoriteName_textBox,XPATH,"//*[@id=""fav-input-field""]",,
modelCard,removeDesignFavorite_button,XPATH,"//*[@id=""remove-favorite""]",,
modelCard,confirmRemoveDesignFavorite_button,XPATH,"//*[@id=""favorite_confirmation_accept""]",,
modelCard,scenarioFavorite_button,XPATH,"//*[@id=""baseballcard_scenario_favorite_btn""]/button",,
modelCard,scenarioFavoriteName_textBox,XPATH,"//*[@id=""scenario-fav-input-field""]",,
modelCard,removeScenarioFavorite_button,XPATH,"//*[@id=""scenario-remove-favorite""]",,
modelCard,confirmRemoveScenarioFavorite_button,XPATH,"//*[@id=""scenario_favorite_confirmation_accept""]",,
modelCard,scenarioChangeToReference_button,XPATH,"//*[@id=""scenario-change-to-reference""]",,
modelCard,confirmScenarioChangeToReference_button,XPATH,"//*[@id=""scenario_reference_change_confirmation_accept""]",,
modelCard,closeModelCard_button,XPATH,"//*[@id=""baseballcard_close_btn""]//*[name()='svg']/*[name()='path']",,
modelCard,AverageSampleSizeDropoutsExpandButton,XPATH,"//*[@id=""heading-details""]/button",,
modelCard,averages_details_table_headers,XPATH,//*[@id= 'averages_details_table']//tr/th,,
modelCard,averages_details_table_cell,XPATH,//*[@id= 'averages_details_table']//tr/td,,
modelCard,averages_details_table,XPATH,//*[@id='averages_details_table'],,
modelCard,simulationBoundaries_IncrementalBoundary,XPATH,"//*[@id=""heading-boundaries""]/button",,
modelCard,zone_wise_average,XPATH,"//*[@id=""zone-wise-average-btn""]",,
