ModelID,Description1,Description2,StatisticalDesign,Distribution,DesignType,TestType,ToCompute,searchDelta,EventCalculationMethod,inputMethodType,ExponentialDropoutRate,MST_Control,MST_Treatment,Hazard_Rate_Control,Hazard_Rate_Treatment,CumPercSurv_ByTime,CumPercSurv_Control,CumPercSurv_Treatment,AccrualDuration,StudyDuration,SampleSize,typeIError,Power,HazardRatio,Power_Output,SampleSize_Fraction,SampleSize_Integer,MST_Treatment_Output,Hazard_Rate_Treatment_Output,CumPercSurv_Treatment_Output,Probability_of_Event,Number_of_Events,Number_of_Events_Integer,CriticalPoint1Sided,LowerCriticalPoint2Sided,UpperCriticalPoint2Sided,Alpha_Output,Attained_Power
12,Hazard Ratio > 1,Small Accrual and Study Duration,FixedSample,Exponential,Superiority,2-Sided,Alpha,,Lachin and Foulkes,Hazard Rates,10,-999998,-999998,20,27,-999998,-999998,-999998,0.25,0.3,23,-999998,0.4,1.35,-999998,-999998,-999998,-999998,-999998,-999998,0.717326529,16.49851017,17,-999998,-1.472322684,1.472322684,0.14093376,-999998
13,Hazard Ratio > 1,Large Follow up time,FixedSample,Exponential,Superiority,1-Sided,Alpha,,Lachin and Foulkes,Cumulative Percent Survival,0.0001,-999998,-999998,-999998,-999998,125,92,85,50,270,45,-999998,0.73,1.949098027,-999998,-999998,-999998,-999998,-999998,-999998,0.269513783,12.12812023,13,1.71132168,-999998,-999998,0.043510873,-999998
14,Hazard Ratio > 1,,FixedSample,Exponential,Superiority,2-Sided,Sample Size,,Lawless,Median Survival Times,1.2,63,50,-999998,-999998,-999998,-999998,-999998,50,100,-999998,0.05,0.94,1.26,-999998,20489.43837,20490,-999998,-999998,-999998,0.011420518,233.5704334,234,-999998,-1.959963985,1.959963985,-999998,-999998
15,Hazard Ratio < 1,,FixedSample,Exponential,Superiority,2-Sided,Sample Size,,Lawless,Hazard Rates,0.1,-999998,-999998,0.75,0.55,-999998,-999998,-999998,1,2,-999998,0.025,0.7,0.733333333,-999998,143.859296,144,-999998,-999998,-999998,0.521342743,74.63687643,75,-999998,-2.241402728,2.241402728,-999998,-999998
16,Hazard Ratio < 1,,FixedSample,Exponential,Superiority,2-Sided,Sample Size,,Lawless,Cumulative Percent Survival,3.5,-999998,-999998,-999998,-999998,50,95.5,98,200,300,-999998,0.05,0.93,0.438770183,-999998,147274.4914,147275,-999998,-999998,-999998,0.000115431,16.94310084,17,-999998,-1.959963985,1.959963985,-999998,-999998
17,Hazard Ratio > 1,,FixedSample,Exponential,Superiority,2-Sided,Power,,Lawless,Median Survival Times,1.2,63,50,-999998,-999998,-999998,-999998,-999998,50,100,20315,0.05,-999998,1.26,0.938520407,-999998,-999998,-999998,-999998,-999998,0.011420518,232.0078234,233,-999998,-1.959963985,1.959963985,-999998,-999998
18,Hazard Ratio > 1,Small Accrual and Study Duration,FixedSample,Exponential,Superiority,2-Sided,Power,,Lawless,Hazard Rates,10,-999998,-999998,20,27,-999998,-999998,-999998,0.25,0.3,23,0.15,-999998,1.35,0.378678532,-999998,-999998,-999998,-999998,-999998,0.717326529,16.49851017,17,-999998,-1.439531471,1.439531471,-999998,-999998
19,Hazard Ratio < 1,Low Power,FixedSample,Exponential,Superiority,1-Sided,Power,,Lawless,Cumulative Percent Survival,0.5,-999998,-999998,-999998,-999998,10,91,92,50,70,1159,0.075,-999998,0.8841163,0.19614305,-999998,-999998,-999998,-999998,-999998,0.016402759,19.01079755,20,-1.439531471,-999998,-999998,-999998,-999998
20,Hazard Ratio > 1,,FixedSample,Exponential,Superiority,2-Sided,Effect Size,Greater than equal to 1,Lawless,Median Survival Times,1.2,63,-999998,-999998,-999998,-999998,-999998,-999998,50,100,20315,0.05,0.94,1.260882796,-999998,-999998,-999998,49.96499292,-999998,-999998,0.011428428,232.1685178,233,-999998,-1.959963985,1.959963985,-999998,-999998
21,Hazard Ratio < 1,,FixedSample,Exponential,Superiority,1-Sided,Effect Size,Less than 1,Lawless,Hazard Rates,5,-999998,-999998,32,-999998,-999998,-999998,-999998,1,5,63,0.08,0.64,0.788506459,-999998,-999998,-999998,-999998,25.2322067,-999998,0.834613462,52.58064811,53,-1.40507156,-999998,-999998,-999998,-999998
22,Hazard Ratio > 1,Large Accrual and Study Duration ,FixedSample,Exponential,Superiority,1-Sided,Effect Size,Greater than equal to 1,Lawless,Cumulative Percent Survival,0.003,-999998,-999998,-999998,-999998,1,99,-999998,300,500,11,0.12,0.7,1.77972947,-999998,-999998,-999998,-999998,-999998,98.22721418,0.854276833,9.397045164,10,1.174986792,-999998,-999998,-999998,-999998
23,Hazard Ratio < 1,,FixedSample,Exponential,Superiority,2-Sided,Alpha,,Lawless,Median Survival Times,0.07,0.75,1,-999998,-999998,-999998,-999998,-999998,1,1.5,51,-999998,0.4,0.75,-999998,-999998,-999998,-999998,-999998,-999998,0.474489473,24.19896313,25,-999998,-1.764098443,1.764098443,0.077715407,-999998
24,Hazard Ratio > 1,Small Accrual and Study Duration,FixedSample,Exponential,Superiority,2-Sided,Alpha,,Lawless,Hazard Rates,10,-999998,-999998,20,27,-999998,-999998,-999998,0.25,0.3,23,-999998,0.4,1.35,-999998,-999998,-999998,-999998,-999998,-999998,0.717326529,16.49851017,17,-999998,-1.389218748,1.389218748,0.164766242,-999998
25,Hazard Ratio > 1,Large Accrual and Study Duration ,FixedSample,Exponential,Superiority,1-Sided,Alpha,,Lawless,Cumulative Percent Survival,0.003,-999998,-999998,-999998,-999998,1,99,98.2,300,500,11,-999998,0.7,1.807299865,-999998,-999998,-999998,-999998,-999998,-999998,0.856291465,9.419206118,10,1.217925104,-999998,-999998,0.111626218,-999998
